Cl-C9	alkyl(Ci-C6)sulfonylalkyle=0.8768112063407898,(poly)-hydroxyalkoxy=0.8643036484718323,CiC6;=0.8606572151184082,C6)carboxyalkyle=0.857174813747406,trialkyl(CI-C6)silanealkyle=0.8564686179161072,C1-C9=0.8541136980056763,Cz-C4=0.8529636263847351,trialkyl(C1-C6)silanealkyle=0.8508664965629578,trifluoroalkyle=0.8439640998840332,02-04;=0.838060736656189
Ai:	3155=0.5075582265853882,Ultra-=0.5006256699562073,A3:=0.4931516945362091,bicolores,=0.48543480038642883,Térahertz,=0.47625869512557983,[nm]=0.47048887610435486,Ombre=0.46554452180862427,terahertz,=0.464150607585907,5-8=0.46312081813812256,2931255=0.46059513092041016
décoration	décoration,=0.8461257815361023,décoratif=0.8280564546585083,décoratifs=0.7730774879455566,d'habillage=0.7560177445411682,décoratif,=0.755969762802124,bijouterie=0.7551565766334534,décor=0.7548959255218506,maroquinerie=0.7401143312454224,décorer=0.7398253679275513,bijouterie,=0.7350150942802429
ultramince	mince=0.6874539852142334,thin=0.679622232913971,mince)=0.672545850276947,antiréflexion=0.6629072427749634,NbN=0.6528377532958984,d'épaisseur),=0.6375738382339478,d'AIN=0.636662483215332,anti-reflet=0.6340784430503845,PDLC=0.6335343718528748,A1N=0.6302289962768555
amphotère,	non-ionique,=0.8159096837043762,zwittérionique,=0.7902745008468628,amphotère=0.7831856608390808,anionique,=0.7823145389556885,cationique,=0.7697274088859558,zwittérionique=0.7389863133430481,zwitterionique=0.7262303233146667,cationique=0.7228741645812988,tensio-actif=0.7102123498916626,amphiphile=0.7071014642715454
hyperprotéinées	céréaliers,=0.704502284526825,confits,=0.7042525410652161,charcuteries,=0.6736918091773987,BIOSAF=0.6722094416618347,lactées=0.6703744530677795,(90%),=0.6682557463645935,panifiés=0.66490638256073,émulsionnables,=0.663547158241272,expansables=0.6609258651733398,poêlées=0.6599270105361938
H2C=C	/Ri=0.9175981283187866,/R1=0.91499924659729,(R2)m=0.8731766939163208,(IVc)=0.8666939735412598,(R2")m,=0.8647550940513611,(R2")m=0.8645035624504089,H2C=0.8539287447929382,(X111)=0.8423671722412109,(Ilc)=0.8422611355781555,(IXa)=0.840801477432251
6-diaminopyrimidine,	6-triaminopyrimidine,=0.9318305850028992,6-tétra-aminopyrimidine,=0.8929398059844971,N7-tetraméthyl-pyrazolo-[1,5-a]-pyrimidine-3,7-diamine;=0.8453841209411621,6-diméthyl=0.8414390683174133,6-diméthyl-pyrazolo-[1,=0.8401737809181213,2,6-diméthyl-pyrazolo-[1,5-a]-pyrimidine-3,7-diamine;=0.8333912491798401,5,6-diméthyl-pyrazolo-[1,5-a]-pyrimidine-3,7-diamine;=0.8211496472358704,N7,=0.7966524362564087,3-amino-5-méthyl-=0.789519727230072,pyrazolo-[1,5-a]-pyrimidine;=0.7884256839752197
à5,5	3"-(acétamido-C-a-D-glucopyranosyl)-propane-2"-one=0.6978557705879211,à60:40=0.6914482712745667,acétamido-C-(3-D-glucopyranosyl)-2-amino-propane=0.6739029288291931,(déc)=0.6687294840812683,439,3=0.6642077565193176,0,0525=0.6635045409202576,*O=0.6574935913085938,2158=0.6552325487136841,524,4=0.6520525813102722,RECTANGLES=0.6514801383018494
(63	(74=0.8562715649604797,(62=0.8469409346580505,(56=0.8403348922729492,(55=0.8401695489883423,(65=0.8374866247177124,(53=0.8337104916572571,(66=0.8334634304046631,(82=0.816329836845398,(54=0.8148289322853088,(47=0.8147138953208923
néoprène,	polyuréthanne,=0.8397271037101746,polytétrafluoréthylène=0.8166610598564148,polychloroprène=0.8108615875244141,polyuréthane,=0.8057113885879517,caoutchouc,=0.8017086982727051,PVC,=0.7936769723892212,polyester,=0.7899550199508667,EPDM,=0.788317859172821,caoutchouc=0.7869605422019958,(PTFE)=0.7859117388725281
monomère),	(éthylène-propylène-diène=0.8798670768737793,SEBS=0.8582579493522644,styrène)=0.8572685718536377,Rubber)=0.844890296459198,EPDM=0.8361400365829468,Styrène),=0.8325403332710266,(élastomère=0.8307995796203613,butadiene=0.8298637866973877,Butadiène=0.8226060271263123,NBR=0.8225340843200684
L'«	«j=0.9099848866462708,d'«=0.9093867540359497,«B=0.9052415490150452,d«<=0.898503839969635,l'«=0.8962883353233337,«à=0.8896911144256592,«DC=0.8792839050292969,I«<=0.8761049509048462,«p=0.8728271126747131,-«=0.8640570640563965
microcavité,	microcavité=0.6445277333259583,micro-cavité=0.5596578121185303,cavité,=0.5311738848686218,nanostructure,=0.5139723420143127,hétérostructure=0.5079373717308044,microstructure,=0.507368266582489,microstructure=0.49560412764549255,Fabry-=0.4911636412143707,micro-dispositif,=0.4860602021217346,photonique=0.4805065095424652
l'extr	l'ext=0.669028103351593,ceMe=0.656001091003418,emit=0.6509675979614258,adapt=0.6505067348480225,ents=0.6396991610527039,articul=0.637299656867981,pte=0.6312255859375,erieur=0.6251349449157715,d'i=0.6217429041862488,optiq=0.6192208528518677
3D-AVC,	(MVC,=0.9829878211021423,MV-HEVC,=0.9757766127586365,3D-HEVC,=0.9695144891738892,AVC=0.6775755286216736,H263,=0.6523187160491943,264/MPEG-4=0.6128511428833008,AVC,=0.6122623682022095,MPEG-1,=0.609678328037262,WMA,=0.5989221930503845,vidéonumérique=0.5908349752426147
axiale-	régulière-=0.572503924369812,élé-=0.5210503935813904,seg-=0.501556932926178,notam-=0.5014791488647461,raccorde-=0.49290183186531067,pivote-=0.48630189895629883,préférentielle-=0.48478958010673523,totale-=0.4844866991043091,électrique-=0.48353707790374756,mouve-=0.48259156942367554
Test:	(crème=0.6028778553009033,Homogène=0.5903459191322327,MANUGEL=0.5821691155433655,Rinçage=0.5819074511528015,Douceur=0.5701887011528015,Recuit=0.5687368512153625,Centrifugation=0.567897379398346,éprouvettes:=0.5654825568199158,Observations=0.5583038926124573,$)=0.5545341372489929
bHitl	RES_AUTH=0.6543114185333252,-N(R'16)2,=0.6376056671142578,(NMSK=0.626458466053009,-Z2=0.6253384351730347,BCOMP=0.6245905756950378,DBSS=0.6244975328445435,ss-hydroxypropyle=0.611621081829071,OLRU=0.608207106590271,\~N=0.6081135272979736,{OBS(BITE1)=0.6065295934677124
3040232	2875931=0.5878431797027588,3041150=0.5832300186157227,3040231=0.5734575986862183,3037671=0.5701811909675598,3038991=0.5657100081443787,3040658=0.5607777237892151,3040959=0.5549864172935486,3037909=0.5546272993087769,3043387=0.5517950654029846,3040216=0.5451827645301819
immunity,	Metab,=0.8364220261573792,FASEB=0.8193813562393188,Gerontol=0.8178163766860962,therapy:=0.8168579339981079,1988;=0.8151267766952515,Aging,=0.814960777759552,Adolesc=0.8129478096961975,89:=0.8122868537902832,Fan,=0.8117603659629822,Chromatogr=0.8110261559486389
155,1	136,5=0.9263517260551453,136,8=0.9260356426239014,156,5=0.9251450300216675,132,8=0.9216659069061279,136,1=0.9196783900260925,137,2=0.9184871315956116,128,0=0.9180569648742676,134,8=0.9176833629608154,117,3=0.9162155985832214,126,3=0.9144418239593506
FILol	BF(p)=0.7088818550109863,NJNJ=0.7052332758903503,Ce21,=0.702621340751648,f4x4=0.7012659907341003,zuIxHL(i)=0.6985735297203064,y(t=0.6954598426818848,39FDEP=0.6936710476875305,CIA2=0.6929438710212708,BDr,=0.6895952820777893,E1002=0.6849552392959595
utilisé:	Multicarrier=0.5081262588500977,(ms=0.5035213828086853,sing=0.501832902431488,inchangé)=0.5004981160163879,actif:=0.49967294931411743,diluee=0.4976121485233307,spécifique:=0.48994123935699463,Conformation=0.48897090554237366,B)-=0.4875284731388092,Blunt=0.48570507764816284
aplatissages)	HENRY=0.7144390344619751,germées=0.6737907528877258,regia=0.6591421365737915,macérées=0.6585136651992798,moluccana,=0.6495835781097412,germés=0.644684910774231,Purée=0.6435509920120239,sativum)=0.639436662197113,d'Onagre=0.6378664374351501,(Deux=0.6376432776451111
CD23	CD45,=0.8104074001312256,HLA-DR,=0.7935749292373657,CD30,=0.7931312322616577,CD14=0.784532368183136,CD38,=0.775958240032196,CD80,=0.7713730335235596,CD40,=0.7651572227478027,CD52,=0.7642877101898193,CD8=0.7619438767433167,CD23,=0.7549471259117126
serties,	cylindriques,=0.6386855244636536,soudées,=0.6355382204055786,rigides,=0.6339752674102783,flexibles,=0.614117443561554,perforées,=0.6115198731422424,serties=0.6088376641273499,fendues=0.607699990272522,démontables,=0.6034002900123596,sécables,=0.5992399454116821,semi-rigides,=0.5991829037666321
électrolysable	(lithium,=0.6425169110298157,(nickel=0.6126580834388733,oxyde"conducteur=0.604314386844635,Ni-Fe-P=0.5907747745513916,(YAG)=0.583493709564209,lithié,=0.5812960267066956,tungstène-cuivre=0.5776635408401489,BaCO3,=0.5707576870918274,nickel-fer,=0.5706562995910645,lithié=0.5693309307098389
G5)	G5=0.6727054119110107,G3,=0.670799970626831,G4,=0.6678299307823181,G2,=0.6643841862678528,G3)=0.6498802900314331,G6=0.6491854190826416,G3=0.6403185129165649,G1,=0.6394076347351074,G5,=0.6347750425338745,Gl=0.6293435096740723
(112A,	112D,=0.7654913067817688,112c,=0.7426846623420715,112A,=0.7177881002426147,110A,=0.6847989559173584,121A,=0.682493269443512,112B,=0.6803936958312988,114A,=0.6781787276268005,111A,=0.6699289083480835,141B=0.6683434247970581,130B,=0.6664263606071472
Nécessite	5°C/minute,=0.4760628342628479,t/min=0.4721736013889313,tour/min=0.46853718161582947,rpm=0.45815885066986084,tours/min=0.4472121000289917,agiter=0.44105902314186096,tours/mn=0.4402753710746765,(tours/min)=0.432900995016098,G/MOL=0.4288519620895386,douse=0.42455944418907166
erations	ites=0.7041361331939697,isateu=0.6962087154388428,ons=0.6945446133613586,rmet=0.6911925673484802,cutan=0.6878141164779663,eration=0.6829258799552917,util=0.6821252107620239,vari=0.6816183924674988,isatio=0.6803206205368042,"em=0.6774658560752869
920°C	7000C=0.6958411335945129,1100C=0.6731899380683899,-Température=0.6727147102355957,155°C=0.6685203909873962,275°C=0.6632242202758789,1300C=0.6583788394927979,370°C=0.6575832962989807,120"C=0.6567038297653198,4500C=0.6559010148048401,340°C=0.6520835161209106
7416	Lorsqu"aucun=0.7406819462776184,Lorsqu"aucune=0.7373545169830322,qu"indicative=0.7350101470947266,qu"illustratif=0.7334402203559875,Lorsqu'aucun=0.7197614312171936,qu"indirectement=0.7112415432929993,puisqu"aucune=0.7086781859397888,puisqu'aucune=0.7060209512710571,lorsqu"aucune=0.7031757235527039,guère=0.6924824714660645
6-(C-a-D-galactopyranosyl)-5-céto-hexanoique	6-(C-(3-D-galactopyranosyl)-5-céto-hexanoique=0.9207544326782227,6-(C-(3-D-galactopyranosyl)-5-hydroxy-hexanoique=0.9058886766433716,6-(C-(3-D-galactopyranosyl)-5-amino-hexanoique=0.8908768892288208,6-(C-(3-D-galactopyranosyl)-5-amino-pentanoique=0.8894981741905212,6-(C-a-D-galactopyranosyl)-5-hydroxy-hexanoique=0.8878432512283325,6-(C-a-D-galactopyranosyl)-5-céto-pentanoique=0.8832677006721497,6-(C-(3-D-galactopyranosyl)-5-céto-pentanoique=0.8825949430465698,6-(C-a-D-galactopyranosyl)-5-amino-hexanoique=0.8573428392410278,6-(acétamido-C-a-D-glucopyranosyl)-5-céto-hexanoique=0.8554949760437012,6-(C-a-D-glucopyranosyl)-5-phénylamino-pentanoique=0.8510157465934753
métastase	récidive=0.8240407109260559,hémorragique=0.8102548122406006,nosocomiale=0.7970905303955078,métastatique=0.7917557954788208,nécrose=0.78410804271698,ovarien=0.77625572681427,mélanome=0.7755890488624573,ganglionnaire=0.7729727029800415,neuroblastome=0.7656972408294678,lymphoblastique=0.7656514644622803
55%	65%=0.9431146383285522,35%=0.9280244708061218,70%=0.9255116581916809,75%=0.9194681644439697,45%=0.9193992614746094,25%=0.9070788621902466,40%=0.9064445495605469,85%=0.9061523079872131,60%=0.8969150185585022,80%=0.8918129205703735
Ebel,	Gerard,=0.9277520775794983,Chao,=0.921080470085144,Jang,=0.9177111983299255,Rubin,=0.9131127595901489,Howard,=0.911715030670166,Weissman,=0.9113275408744812,Esposito=0.9004941582679749,Hentz,=0.9002953171730042,Dubertret=0.8992362022399902,Srivastava,=0.8987278938293457
univariées	empiriques=0.6490921974182129,rNS=0.6244555711746216,bayésiennes=0.6174877285957336,Jacobi=0.6152439117431641,analytiques=0.6065340638160706,pré-calculées=0.6064751744270325,géostatistiques,=0.5891321897506714,reprojetés=0.5864260196685791,asymptotiques=0.5859596133232117,PNew=0.5855881571769714
chasseur,	automoteur,=0.5395217537879944,nautique=0.538284182548523,tracté,=0.5361901521682739,badminton=0.529663622379303,d'escalade,=0.5194529294967651,automoteur=0.5192071199417114,sol),=0.5165098905563354,labour,=0.5090512633323669,l'enjambeur=0.5045813918113708,combat,=0.5021639466285706
330,0	57,0=0.9226298332214355,45,0=0.9209629893302917,56,0=0.9202226996421814,35,8=0.9196797609329224,Pu-242=0.9159266352653503,27,4=0.9156485795974731,87,0=0.9130790829658508,46,0=0.9122943878173828,17,3=0.9106709957122803,18,6=0.9103640913963318
91",	92,=0.7249637842178345,89,=0.7233483791351318,97,=0.7215175032615662,87,=0.7202036380767822,88,=0.7187917828559875,93,=0.7159267663955688,83;=0.7071595788002014,91,=0.7026493549346924,94,=0.7025007605552673,81;=0.6961524486541748
M23,	M24,=0.8170576691627502,M21,=0.7923681139945984,M22,=0.7838184237480164,M25,=0.7643885612487793,M32,=0.7543509006500244,M18,=0.7535409927368164,M23=0.7507714629173279,M12,=0.743919849395752,M17,=0.7437646985054016,N22,=0.7339741587638855
dési	utili=0.5219222903251648,siti=0.5012070536613464,ali=0.4996146559715271,uti=0.49946391582489014,ari=0.4967055320739746,inventi=0.4957502484321594,ser=0.49390989542007446,li=0.49285534024238586,decrire=0.49252286553382874,mémori=0.49171701073646545
"isSTART"	"isEND"=0.9378881454467773,"false",=0.7187349796295166,DIALNORM=0.5530120134353638,"true",=0.5526577830314636,"false"=0.5468220710754395,(couple=0.5243808627128601,(Mot=0.5025326013565063,{identifiant=0.5020719766616821,Youla,=0.5009774565696716,suremballage/fermeture=0.4948015809059143
bxq,	(bx,=0.9185707569122314,blq=0.7232179045677185,bl,=0.6443422436714172,b6,=0.644317626953125,BL4=0.6133467555046082,b4,=0.6078612804412842,OUT3=0.6053571105003357,wlb=0.60086989402771,b5,=0.5995327830314636,BL1=0.592578113079071
répandue,	répandue=0.842658281326294,performante,=0.8087806701660156,répandu,=0.8063395619392395,usitée=0.7980024218559265,populaire=0.7779523730278015,répandues,=0.7704190015792847,contraignante,=0.7623672485351562,répandus,=0.7509459257125854,récente,=0.7479509711265564,fréquente=0.7438512444496155
CH2=CCH3C00-CH2CH2CF3,	CH2=CCH3C00-CH2CH2(CF2)2F,=0.9780642986297607,CH2=CCH3C00-CH2(CF2)6F,=0.9722023606300354,CH2=CCH3C00-CH2=0.967843234539032,CH2=CCH3C00-CH2-CH2-(CF2)16F,=0.9505242109298706,CH2=CCH3C00-CH2CH2(CF2)10F,=0.9504692554473877,CH2=CCH3C00-CF(CF3)2,=0.9247999787330627,CH2=CCH3C00-CH(CF3)2,=0.9227873682975769,CH2=CCH3C00-CH2CH(CF3)2,=0.9180096387863159,CH2=CCH3C00-CH2(CF2)2F,=0.9111109972000122,CH2=CCH3C00-nC4F9,=0.9107863306999207
Empol	Unichema=0.9285688996315002,Empol®=0.8173686861991882,Henkel,=0.67154860496521,soirs=0.596889317035675,matins=0.584830641746521,5BM-GX=0.5794296264648438,Spécialités=0.5775187611579895,goupements=0.5749565958976746,abreuvoirs=0.5661488175392151,implanters=0.5584113001823425
232")	212")=0.700731635093689,31N)=0.6948610544204712,33);=0.688713550567627,151),=0.6814428567886353,31')=0.6750665903091431,321),=0.6715462803840637,25')=0.6709820628166199,214")=0.6684709787368774,29")=0.6668711304664612,27')=0.6664037108421326
(84,	(76,=0.9388024806976318,(82,=0.9363350868225098,(72,=0.9324177503585815,(58,=0.9282840490341187,(70,=0.9244752526283264,(62,=0.9236803650856018,(68,=0.9226772785186768,(59,=0.9219055771827698,(64,=0.9197589159011841,(71,=0.9181476831436157
20080416	20071003=0.9960108399391174,20080605=0.9958722591400146,20080425=0.9957333207130432,20070509=0.995694100856781,20020408=0.9956781268119812,20070530=0.9956454038619995,20070706=0.9956449866294861,20140903=0.9956443309783936,20020123=0.9955839514732361,20080718=0.9955568909645081
jeu(x)	même(s)=0.645262598991394,principal(aux)=0.6367236375808716,second(s)=0.6341389417648315,premier(s)=0.632761538028717,primaire(s)=0.6315258145332336,correspondant(s)=0.6289772391319275,est(sont)=0.627484142780304,de(s)=0.6239829063415527,dit(s)=0.6188145875930786,éventuel(s)=0.6179491281509399
3024830	P005018FR=0.7985811829566956,Sphérode=0.7965810894966125,REPRESENTEE=0.784045398235321,ExC=0.7802603840827942,leielei=0.7799528241157532,3/dpt=0.778272271156311,3333333=0.7766361236572266,-Ballon=0.7713369727134705,MMMMMMMM=0.770531177520752,3022441=0.7674071192741394
802A	802B=0.6908556222915649,2212=0.5443001985549927,136B=0.514282763004303,(16d)=0.5085196495056152,z(h,=0.5016570687294006,138B=0.4993140995502472,84b,=0.48906537890434265,93b=0.48823410272598267,P24,=0.4879789650440216,p6)=0.48728206753730774
Gazz	Herrmann=0.8642747402191162,Anesthesiology,=0.8560935258865356,Zhong=0.8549283146858215,Verhoeyen=0.8477733135223389,Arnold,=0.8459180593490601,156-159=0.8453676104545593,Yun,=0.8440788388252258,Ital=0.841393768787384,Murray,=0.8397128582000732,Rheological=0.8390395641326904
1-héxène,	1-heptène,=0.9882515072822571,2-méthyl-1-butène,=0.9759212136268616,1-undécène,=0.9745785593986511,1-tridécène,=0.9619878530502319,3-methyl-1-butène,=0.9585623741149902,1-tetradécène,=0.9472687840461731,1-pentadécène,=0.936826765537262,d'isobutène,=0.9343585968017578,1-dodécéne,=0.9106967449188232,1-dodécène,=0.9093518257141113
hétérostructure,	hétérojonction,=0.6413062214851379,interbande=0.6144964694976807,AIGaN/GaN=0.6135826110839844,hétérostructure=0.584651529788971,nanostructure,=0.5780538320541382,hétérojonction=0.5777431130409241,semiconductrice,=0.5767781734466553,p+,=0.5699901580810547,semi-conductrice,=0.565895140171051,cathode;=0.5656358599662781
Perfect	Sphere=0.751247227191925,Mackie=0.7450944781303406,decoding=0.7423524856567383,fast=0.7361090779304504,codes"=0.7353665828704834,characteristics=0.7300366163253784,correcting=0.7295827269554138,Multichannel=0.7236263751983643,scale=0.723167359828949,error-correcting=0.7224785089492798
dephaseurs	multiplexeurs,=0.6059170365333557,entrelacements=0.6043804883956909,comparateurs,=0.559695303440094,redondants,=0.5577332973480225,configurables,=0.5567150115966797,d'entrees=0.5552679300308228,amplificateurs,=0.5537239909172058,multiplieurs,=0.5509548783302307,logiques,=0.5502846240997314,factices,=0.5495442748069763
contre-pressage	pliante=0.4612749516963959,transporteuse=0.4581126868724823,interposable=0.45612141489982605,bigoudis,=0.4525474011898041,d'arceaux=0.4424591362476349,tendue=0.4404047131538391,glacier=0.4338633120059967,autoagrippante,=0.43152180314064026,liteaux=0.43138056993484497,frottante=0.4286211133003235
Olig2	COMBINEE=0.8046520352363586,INDUITE=0.797875702381134,YODOSOL=0.794611930847168,(Supplement)=0.7926112413406372,12/02=0.7909220457077026,VANILLINE=0.7894361019134521,12/66=0.7890393733978271,pNL4=0.7888273596763611,ENTRAINE=0.788275957107544,GH41F=0.7869749069213867
OX-100	2-undécyl-4,4-diméthyl-1,3-oxazoline,=0.9029752612113953,2(2-hydroxyéthylamino)-6-benzylamino-9-méthylpurine=0.8118970394134521,olomucine=0.8034946322441101,flavopiridol=0.7812880277633667,PACM,=0.7748777270317078,Cyclocéramidé=0.7339882254600525,"nanosilices"=0.6710976362228394,"fonction=0.6536133289337158,valentonine=0.6351824998855591,"Laurdimonium=0.6207834482192993
310b	310a,=0.8644266128540039,310a=0.8519001603126526,310b,=0.81719571352005,206a,=0.7804481387138367,200b=0.7634608149528503,200a,=0.7534800171852112,210a=0.753182053565979,300a=0.7470144033432007,210a,=0.7416800260543823,210b=0.7402248382568359
règlementations	réglementations=0.8469729423522949,législations=0.8396597504615784,obligations=0.8214734196662903,autorités=0.7997985482215881,règlements=0.7890638709068298,restrictions=0.7751585841178894,normes,=0.7741222977638245,normes=0.7720877528190613,exigences=0.7656013369560242,prescriptions=0.7535440325737
1455	1469=0.8097935914993286,1660=0.8043665289878845,1246=0.7984493970870972,1651=0.7952055335044861,1748=0.7938463091850281,1416=0.7882476449012756,1368=0.784328818321228,1623=0.7822058796882629,1367=0.7809265851974487,1094=0.7798734903335571
ulves	algues=0.7343347072601318,graines,=0.7024557590484619,cystes=0.6834027767181396,pulpes=0.6832163333892822,algues,=0.6797074675559998,dattes=0.6790374517440796,gousses=0.6652350425720215,cyanobactéries=0.6651861071586609,amandes=0.6645970344543457,écorces=0.6576034426689148
contact,	contact=0.7673323750495911,contact;=0.7595328688621521,contact),=0.6502725481987,contact:=0.6242311000823975,prise,=0.6210001111030579,connexion,=0.5780719518661499,fil,=0.5779407024383545,contact)=0.5628950595855713,chevauchement,=0.5575000047683716,conductrice,=0.5517922043800354
GEF	Amp=0.5282825827598572,Neurotrophic=0.5274535417556763,CDC42=0.5157996416091919,SPC=0.5118774175643921,(FAS)=0.5099688172340393,Factor=0.5020092129707336,KD=0.49855920672416687,lectin-like=0.49805667996406555,Macro-Prep=0.49802395701408386,l'atténuateur=0.4970168173313141
âHS	âqS=0.8715147972106934,OS17-017=0.8184011578559875,âIS=0.8181295394897461,L8-Z=0.817071259021759,96-117=0.7966051697731018,âaS=0.7941622138023376,?MS=0.7875816822052002,09Z-Z)=0.7865374088287354,QI=0.7768685221672058,OZ-19Z=0.7656357884407043
LED	DEL=0.916780948638916,LEDs=0.8810135126113892,LED,=0.8246549963951111,lampes=0.8121387362480164,diodes=0.8051765561103821,leds=0.7793167233467102,DELs=0.7789604663848877,DEL,=0.7739694118499756,électroluminescentes=0.7718796730041504,lampe=0.7644575238227844
3029616	2865317=0.6555951237678528,3025061=0.6338092088699341,3035770=0.6068126559257507,3043272=0.6015071868896484,Pchg(t)=0.5972241163253784,2904123=0.5963865518569946,2862957=0.5948684215545654,DD14522ST=0.5918137431144714,3021538=0.5859302282333374,3024275=0.5858355164527893
dialkyls	23/24=0.8806208968162537,401/12=0.8751446604728699,DC3000]=0.8722877502441406,013-017,=0.872024655342102,15/09=0.870832085609436,6/44=0.8705938458442688,401/14=0.8694806098937988,20001011=0.8686128854751587,49/04=0.8685864806175232,9/35=0.8674358129501343
107C	ID=3)=0.6412895917892456,1/01=0.6351941227912903,102D=0.6134627461433411,3-Fluorophényl=0.6054944396018982,435b=0.6043015122413635,1-(C-a-D-galactopyranosyl)-hexane-2,6-diol=0.6036355495452881,401b)=0.6013320088386536,106C=0.6008759140968323,1-(C-(3-D-galactopyranosyl)-2-phénylamino-propane=0.5992697477340698,RLUs=0.5928075313568115
motilité	vascularisation=0.8197722434997559,l'hyperperméabilité=0.8176596760749817,sénescence=0.8067957758903503,l'angiogénèse=0.8048981428146362,phagocytose=0.8014939427375793,prolifération,=0.7982484698295593,sécrétion=0.7963659763336182,lipolyse=0.7930557131767273,l'apoptose,=0.7887199521064758,fibrinolyse=0.7884303331375122
Rousselle	Pedersen=0.8580421209335327,Fernandez,=0.8526368737220764,Heath=0.8517093658447266,Knight=0.846924364566803,Hayashi,=0.8440651297569275,Grau=0.8433018326759338,Pigou=0.8392383456230164,Joullié=0.8381096720695496,Scherman,=0.8379398584365845,McComiskey=0.8375727534294128
resting	cells=0.7093101739883423,heart=0.680465042591095,after=0.6685897707939148,Methanobrevibacter=0.6566627025604248,stem=0.6494742631912231,fed=0.6475940346717834,adult=0.6474536061286926,yeast=0.6432216167449951,kidney=0.6421653032302856,under=0.6400790810585022
3(1	YAi=0.7700417637825012,(x+y)x(x+y)/2=0.760572075843811,(By=0.7379024028778076,SERVIR=0.7326993346214294,HScrolll=0.7312702536582947,K1-4=0.7296866178512573,Compd=0.7292811274528503,p-toulène=0.7284380197525024,(2*K=0.7278165221214294,*cos=0.7274799942970276
démaquillage;	anti-solaires);=0.6966753005981445,Savoie=0.6824599504470825,n°23)=0.6782506108283997,décolorants),=0.6758401989936829,488;=0.675370454788208,modéré:=0.6711915135383606,pSEA2=0.6708366274833679,anti-solaires),=0.6696794033050537,72200-29-4)=0.663958728313446,anticerne=0.6637588739395142
152-153	207-208=0.9013038873672485,00218=0.8982357382774353,(AcOEt/EP)=0.895447850227356,138-139=0.8951727747917175,13/34=0.8944612741470337,27/20=0.8926473259925842,13/42=0.891707718372345,40/22=0.8907548189163208,12/70=0.8905280232429504,59/00=0.8903703093528748
